"term","estimate","std.error","statistic","p.value","response","predictors","trans","note","POR"
"(Intercept)",127156.066143916,103885.734016999,1.22399930411147,0.233899616806891,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"Q.C43",0.195851158445311,0.0527156379493126,3.71523832517454,0.00120482271297965,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"Q.S77",0.0839027770877673,0.0226901749419375,3.69775805177653,0.00125687387951581,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"mean.stg",-7689.38309506253,9172.09370203791,-0.838345457957331,0.41085313925553,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"(Intercept)",30730.2095523509,209935.318615257,0.146379417027343,0.885450311565838,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"Q.C43",0.219406365354353,0.0785873101191176,2.79188033057488,0.0130582057037625,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"Q.S77",0.0734355821422612,0.0342181410785365,2.14610086426711,0.0475475952334787,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"mean.stg",-367.894454185202,17715.0521629556,-0.0207673367710717,0.983688036303933,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"(Intercept)",27560.8883184089,690496.6822968,0.0399145847113024,0.968521236574507,"TNLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"Q.C43",1.53391771254864,0.350384713104144,4.37781003331819,0.000239742062407777,"TNLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"Q.S77",1.58022848243788,0.150814649060266,10.4779508640863,5.12779858027367e-10,"TNLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"mean.stg",20812.6312834606,60964.0999401921,0.341391594460978,0.736048009824826,"TNLoad","Q.C43, Q.S77, mean.stg",NA,"all-data","1982-2019"
"(Intercept)",448264.365965255,1151727.408796,0.389210469892233,0.702251696829212,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"Q.C43",2.57881115893843,0.431138312718196,5.98140105591594,1.9185246068365e-05,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"Q.S77",1.1906282633648,0.187724348709635,6.34242852112073,9.77426689373827e-06,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
"mean.stg",-41676.2047360955,97186.653769863,-0.428826419261068,0.673767321154885,"TPLoad","Q.C43, Q.S77, mean.stg",NA,"hurricanes excluded","1983-2019"
